Product_Name,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
HP 14s Intel Core i3 11th Gen,4.3,4590,396,₹38990,₹49509,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/g/c/-original-imagp7pfkztgtg93.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.3,703,60,₹38990,₹50585,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/r/j/-original-imagp7pfqggfaqqm.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.2,2378,234,₹44990,₹55691,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/p/9/-original-imagp7pfnchrzxhr.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,1778,135,₹43990,₹54552,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/5/b/-original-imagp7pfkjydaptk.jpeg?q=70
MSI Core i5 12th Gen,4.4,13,0,₹46990,₹67990,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/h/a/-original-imagnqmwbbxzm8tp.jpeg?q=70
HP Laptop Core i3 11th Gen,4.2,167,13,₹38990,₹49025,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/l/u/-original-imagp7pgcy8e6eta.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,346,26,₹48990,₹59241,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/z/e/v/-original-imagp7pgjf9zfwxp.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,592,60,₹49990,₹59109,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/l/u/-original-imagp7pf4hphhyhu.jpeg?q=70
MSI Core i5 12th Gen,4.4,13,0,₹48990,₹67990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70
MSI Ryzen 5 Hexa Core 7530U,4.4,60,9,₹45990,₹64990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70
